storeID,wkEndDate,TotNet
179,2018-08-26,105282.61
16,2018-08-26,75847.01
70,2018-08-26,124629.81
44,2018-08-26,65791.22
185,2018-08-26,182234.0
170,2018-08-26,134973.47
76,2018-08-26,110853.47
106,2018-08-26,167756.94
37,2018-08-26,142789.91
103,2018-08-26,91034.28
108,2018-08-26,113678.64
83,2018-08-26,119646.23
6,2018-08-26,96895.3
159,2018-08-26,120351.02
125,2018-08-26,175414.47
1,2018-08-26,129805.07
87,2018-08-26,134581.87
92,2018-08-26,143183.3
118,2018-08-26,144067.9
90,2018-08-26,118372.39
31,2018-08-26,134182.16
191,2018-08-26,169875.79
96,2018-08-26,174301.2
38,2018-08-26,134931.39
157,2018-08-26,154549.57
178,2018-08-26,90705.4
136,2018-08-26,138313.29
85,2018-08-26,44369.55
50,2018-08-26,89370.09
74,2018-08-26,172387.41
198,2018-08-26,83380.89
120,2018-08-26,136080.78
18,2018-08-26,89239.9
29,2018-08-26,165045.21
52,2018-08-26,170803.07
102,2018-08-26,187601.43
22,2018-08-26,168483.52
184,2018-08-26,109725.37
28,2018-08-26,243235.62
109,2018-08-26,121857.56
20,2018-08-26,179107.67
46,2018-08-26,173552.36
134,2018-08-26,129895.67
153,2018-08-26,108533.08
57,2018-08-26,70240.45
4,2018-08-26,34963.26
169,2018-08-26,74055.61
13,2018-08-26,160088.18
140,2018-08-26,75012.56
128,2018-08-26,89877.19
119,2018-08-26,31915.15
84,2018-08-26,106684.51
189,2018-08-26,99920.18
158,2018-08-26,120085.47
40,2018-08-26,139727.4
196,2018-08-26,55981.9
21,2018-08-26,191122.04
75,2018-08-26,125206.16
155,2018-08-26,35863.03
55,2018-08-26,43207.78
72,2018-08-26,99316.99
156,2018-08-26,161949.55
41,2018-08-26,149470.03
124,2018-08-26,94887.03
93,2018-08-26,127465.45
187,2018-08-26,115623.54
107,2018-08-26,148076.12
15,2018-08-26,78326.88
17,2018-08-26,106806.58
117,2018-08-26,36573.08
176,2018-08-26,79295.14
104,2018-08-26,99859.81
135,2018-08-26,32572.18
86,2018-08-26,92773.53
25,2018-08-26,184216.49
45,2018-08-26,93568.87
138,2018-08-26,136346.42
115,2018-08-26,157217.91
94,2018-08-26,141422.75
51,2018-08-26,140838.59
164,2018-08-26,92085.25
34,2018-08-26,59856.85
54,2018-08-26,139049.91
12,2018-08-26,95308.06
154,2018-08-26,32744.42
56,2018-08-26,126856.08
95,2018-08-26,44039.74
137,2018-08-26,93784.46
7,2018-08-26,153098.67
73,2018-08-26,160608.82
53,2018-08-26,130001.5
105,2018-08-26,63100.94
123,2018-08-26,140418.85
166,2018-08-26,163430.98
8,2018-08-26,138596.66
71,2018-08-26,156912.13
180,2018-08-26,107249.68
3,2018-08-26,36526.91
181,2018-08-26,62457.98
139,2018-08-26,51243.13
172,2018-08-26,129957.17
126,2018-08-26,132716.55
33,2018-08-26,150246.21
116,2018-08-26,95191.49
192,2018-08-26,132664.69
91,2018-08-26,152977.66
165,2018-08-26,170236.75
127,2018-08-26,35494.22
79,2018-08-26,144331.34
58,2018-08-26,59823.61
11,2018-08-26,110738.9
100,2018-08-26,87654.02
148,2018-08-26,118508.57
62,2018-08-26,125973.37
32,2018-08-26,98248.2
111,2018-08-26,140740.88
66,2018-08-26,112340.89
144,2018-08-26,132709.78
190,2018-08-26,110838.9
171,2018-08-26,129550.48
149,2018-08-26,101882.8
61,2018-08-26,123115.77
141,2018-08-26,154827.96
19,2018-08-26,168250.7
121,2018-08-26,155753.44
67,2018-08-26,52473.62
49,2018-08-26,143200.52
81,2018-08-26,68360.8
42,2018-08-26,38035.13
35,2018-08-26,96585.05
143,2018-08-26,72338.94
47,2018-08-26,199074.51
114,2018-08-26,179273.38
43,2018-08-26,110277.1
150,2018-08-26,108785.59
60,2018-08-26,34458.15
97,2018-08-26,120265.49
130,2018-08-26,137117.39
26,2018-08-26,279793.22
36,2018-08-26,103013.22
182,2018-08-26,67181.14
131,2018-08-26,158802.25
161,2018-08-26,129014.16
10,2018-08-26,70124.34
9,2018-08-26,181709.5
48,2018-08-26,119886.0
64,2018-08-26,119072.13
39,2018-08-26,87998.61
146,2018-08-26,87080.74
174,2018-08-26,42104.15
113,2018-08-26,138583.26
186,2018-08-26,130231.53
30,2018-08-26,101270.66
98,2018-08-26,59965.31
199,2018-08-26,135433.4
122,2018-08-26,139326.97
177,2018-08-26,126838.06
168,2018-08-26,131509.16
147,2018-08-26,102081.75
63,2018-08-26,119671.57
162,2018-08-26,122530.23
188,2018-08-26,24717.32
183,2018-08-26,185115.49
99,2018-08-26,138510.41
112,2018-08-26,189986.1
132,2018-08-26,184736.64
88,2018-08-26,188520.49
14,2018-08-26,116647.12
27,2018-08-26,132347.66
65,2018-08-26,131195.76
80,2018-08-26,86551.51
145,2018-08-26,121946.39
78,2018-08-26,149392.19
194,2018-08-26,92572.66
89,2018-08-26,132759.96
193,2018-08-26,36521.54
101,2018-08-26,159915.07
23,2018-08-26,132056.11
59,2018-08-26,61082.32
133,2018-08-26,79208.61
173,2018-08-26,148565.19
163,2018-08-26,75557.46
5,2018-08-26,156350.04
167,2018-08-26,140709.41
160,2018-08-26,59300.8
151,2018-08-26,124674.46
69,2018-08-26,145893.06
175,2018-08-26,140613.59
82,2018-08-26,168510.06
77,2018-08-26,166093.58
68,2018-08-26,135017.5
152,2018-08-26,163217.64
197,2018-08-26,139789.27
24,2018-08-26,91003.26
142,2018-08-26,150680.07
195,2018-08-26,128514.61
200,2018-08-26,152663.29
110,2018-08-26,26284.07
129,2018-08-26,119389.79
2,2018-08-26,153561.6
126,2018-09-02,143488.66
99,2018-09-02,140175.77
192,2018-09-02,130243.5
199,2018-09-02,135518.2
88,2018-09-02,180712.71
102,2018-09-02,182811.69
84,2018-09-02,112243.54
112,2018-09-02,188704.29
183,2018-09-02,183045.27
195,2018-09-02,125705.05
189,2018-09-02,95748.17
54,2018-09-02,135344.71
131,2018-09-02,158555.19
80,2018-09-02,79855.68
28,2018-09-02,244634.67
65,2018-09-02,129692.98
135,2018-09-02,27924.95
117,2018-09-02,36221.29
93,2018-09-02,127130.14
27,2018-09-02,139803.87
184,2018-09-02,106950.62
14,2018-09-02,111481.47
68,2018-09-02,135856.5
156,2018-09-02,160063.23
75,2018-09-02,126401.43
78,2018-09-02,149449.58
132,2018-09-02,180707.7
87,2018-09-02,128251.29
142,2018-09-02,154610.28
23,2018-09-02,133777.59
90,2018-09-02,119346.52
105,2018-09-02,64473.29
123,2018-09-02,161704.79
188,2018-09-02,25751.87
69,2018-09-02,147022.2
29,2018-09-02,170186.4
146,2018-09-02,86847.15
191,2018-09-02,176432.75
74,2018-09-02,169210.96
64,2018-09-02,119647.92
85,2018-09-02,45076.78
136,2018-09-02,140025.9
152,2018-09-02,158367.17
58,2018-09-02,58792.7
157,2018-09-02,151985.76
128,2018-09-02,90141.8
79,2018-09-02,136796.68
92,2018-09-02,147009.0
197,2018-09-02,138110.56
18,2018-09-02,89519.31
186,2018-09-02,125539.39
53,2018-09-02,133133.09
63,2018-09-02,119451.68
147,2018-09-02,99839.58
73,2018-09-02,162968.89
137,2018-09-02,91877.05
198,2018-09-02,86020.93
122,2018-09-02,142859.37
200,2018-09-02,154231.3
106,2018-09-02,162334.45
96,2018-09-02,176004.28
13,2018-09-02,157601.66
125,2018-09-02,163432.41
98,2018-09-02,59279.16
185,2018-09-02,182068.2
113,2018-09-02,125886.19
118,2018-09-02,141575.31
145,2018-09-02,118290.4
86,2018-09-02,91316.92
110,2018-09-02,28171.75
5,2018-09-02,158125.88
7,2018-09-02,165000.64
76,2018-09-02,114643.19
181,2018-09-02,61652.4
143,2018-09-02,66678.2
1,2018-09-02,128175.36
8,2018-09-02,134983.5
