storeID,wkEndDate,TotNet
114,2019-03-17,166437.85
132,2019-03-17,196023.03
185,2019-03-17,171036.9
138,2019-03-17,144146.0
151,2019-03-17,147212.45
171,2019-03-17,126379.75
127,2019-03-17,35286.52
147,2019-03-17,120435.86
186,2019-03-17,124150.35
109,2019-03-17,120423.62
113,2019-03-17,129900.61
165,2019-03-17,163764.55
134,2019-03-17,119334.49
143,2019-03-17,73915.72
150,2019-03-17,101153.24
187,2019-03-17,112013.81
194,2019-03-17,98050.43
125,2019-03-17,144321.54
199,2019-03-17,129293.82
153,2019-03-17,103467.85
162,2019-03-17,131478.3
197,2019-03-17,138897.03
154,2019-03-17,28037.18
173,2019-03-17,149968.9
169,2019-03-17,80724.71
142,2019-03-17,155910.89
157,2019-03-17,133908.26
118,2019-03-17,138128.07
135,2019-03-17,27998.97
119,2019-03-17,27677.44
106,2019-03-17,162364.54
1,2019-03-17,119563.28
195,2019-03-17,125033.13
192,2019-03-17,128810.74
126,2019-03-17,127800.16
115,2019-03-17,137157.29
172,2019-03-17,108393.65
166,2019-03-17,161986.37
121,2019-03-17,165005.86
189,2019-03-17,101860.17
139,2019-03-17,47119.86
155,2019-03-17,33956.55
131,2019-03-17,155041.78
183,2019-03-17,178659.59
161,2019-03-17,137127.49
123,2019-03-17,139182.45
152,2019-03-17,146430.24
146,2019-03-17,73484.31
193,2019-03-17,34883.06
163,2019-03-17,75290.01
159,2019-03-17,125838.35
175,2019-03-17,138667.8
177,2019-03-17,126929.26
170,2019-03-17,139504.56
130,2019-03-17,139441.43
116,2019-03-17,109478.27
111,2019-03-17,129439.69
191,2019-03-17,188210.56
140,2019-03-17,74415.62
174,2019-03-17,42139.57
107,2019-03-17,150426.45
122,2019-03-17,131771.4
179,2019-03-17,112566.93
180,2019-03-17,108506.71
148,2019-03-17,123541.74
3,2019-03-17,33123.84
198,2019-03-17,81617.1
188,2019-03-17,25780.17
137,2019-03-17,83789.46
120,2019-03-17,141602.06
149,2019-03-17,107717.24
110,2019-03-17,32862.05
196,2019-03-17,52174.89
128,2019-03-17,87972.45
167,2019-03-17,131614.85
133,2019-03-17,79240.03
4,2019-03-17,38815.4
2,2019-03-17,157817.33
181,2019-03-17,56647.54
145,2019-03-17,173821.2
168,2019-03-17,119569.23
112,2019-03-17,187955.59
178,2019-03-17,84549.27
158,2019-03-17,117613.5
156,2019-03-17,175877.11
141,2019-03-17,165649.47
190,2019-03-17,111550.03
184,2019-03-17,103115.79
117,2019-03-17,34850.82
176,2019-03-17,80945.16
129,2019-03-17,109736.12
164,2019-03-17,88646.25
160,2019-03-17,53571.98
182,2019-03-17,68149.95
108,2019-03-17,106458.79
